t,node 1 (Volt),node 2 (Volt),node 3 (Volt),V(R1) (Volt),V(W1) (Volt),V(V1) (Volt),V(C1) (Volt),I(R1) (Amp),I(W1) (Amp),I(V1) (Amp),I(C1) (Amp)
0.000000,2.500000,0.004990,2.500000,2.495010,0.000000,2.500000,0.004990,0.000250,-0.000250,-0.000250,0.000250
0.001000,0.000000,0.004980,2.500000,-0.004980,-2.500000,2.500000,0.004980,-0.000000,0.000000,0.000000,-0.000000
0.002000,5.000000,0.014950,2.500000,4.985050,2.500000,2.500000,0.014950,0.000499,-0.000499,-0.000499,0.000499
0.003000,5.000000,0.024900,2.500000,4.975100,2.500000,2.500000,0.024900,0.000498,-0.000498,-0.000498,0.000498
0.004000,5.000000,0.034831,2.500000,4.965169,2.500000,2.500000,0.034831,0.000497,-0.000497,-0.000497,0.000497
0.005000,5.000000,0.044741,2.500000,4.955259,2.500000,2.500000,0.044741,0.000496,-0.000496,-0.000496,0.000496
0.006000,5.000000,0.054632,2.500000,4.945368,2.500000,2.500000,0.054632,0.000495,-0.000495,-0.000495,0.000495
0.007000,5.000000,0.064503,2.500000,4.935497,2.500000,2.500000,0.064503,0.000494,-0.000494,-0.000494,0.000494
0.008000,5.000000,0.074354,2.500000,4.925646,2.500000,2.500000,0.074354,0.000493,-0.000493,-0.000493,0.000493
0.009000,5.000000,0.084186,2.500000,4.915814,2.500000,2.500000,0.084186,0.000492,-0.000492,-0.000492,0.000492
0.010000,5.000000,0.093998,2.500000,4.906002,2.500000,2.500000,0.093998,0.000491,-0.000491,-0.000491,0.000491
0.011000,5.000000,0.103790,2.500000,4.896210,2.500000,2.500000,0.103790,0.000490,-0.000490,-0.000490,0.000490
0.012000,5.000000,0.113563,2.500000,4.886437,2.500000,2.500000,0.113563,0.000489,-0.000489,-0.000489,0.000489
0.013000,5.000000,0.123317,2.500000,4.876683,2.500000,2.500000,0.123317,0.000488,-0.000488,-0.000488,0.000488
0.014000,5.000000,0.133050,2.500000,4.866950,2.500000,2.500000,0.133050,0.000487,-0.000487,-0.000487,0.000487
0.015000,5.000000,0.142765,2.500000,4.857235,2.500000,2.500000,0.142765,0.000486,-0.000486,-0.000486,0.000486
0.016000,5.000000,0.152460,2.500000,4.847540,2.500000,2.500000,0.152460,0.000485,-0.000485,-0.000485,0.000485
0.017000,5.000000,0.162136,2.500000,4.837864,2.500000,2.500000,0.162136,0.000484,-0.000484,-0.000484,0.000484
0.018000,5.000000,0.171792,2.500000,4.828208,2.500000,2.500000,0.171792,0.000483,-0.000483,-0.000483,0.000483
0.019000,5.000000,0.181429,2.500000,4.818571,2.500000,2.500000,0.181429,0.000482,-0.000482,-0.000482,0.000482
0.020000,5.000000,0.191047,2.500000,4.808953,2.500000,2.500000,0.191047,0.000481,-0.000481,-0.000481,0.000481
0.021000,5.000000,0.200646,2.500000,4.799354,2.500000,2.500000,0.200646,0.000480,-0.000480,-0.000480,0.000480
0.022000,5.000000,0.210225,2.500000,4.789775,2.500000,2.500000,0.210225,0.000479,-0.000479,-0.000479,0.000479
0.023000,5.000000,0.219786,2.500000,4.780214,2.500000,2.500000,0.219786,0.000478,-0.000478,-0.000478,0.000478
0.024000,5.000000,0.229327,2.500000,4.770673,2.500000,2.500000,0.229327,0.000477,-0.000477,-0.000477,0.000477
0.025000,5.000000,0.238850,2.500000,4.761150,2.500000,2.500000,0.238850,0.000476,-0.000476,-0.000476,0.000476
0.026000,5.000000,0.248353,2.500000,4.751647,2.500000,2.500000,0.248353,0.000475,-0.000475,-0.000475,0.000475
0.027000,5.000000,0.257837,2.500000,4.742163,2.500000,2.500000,0.257837,0.000474,-0.000474,-0.000474,0.000474
0.028000,5.000000,0.267303,2.500000,4.732697,2.500000,2.500000,0.267303,0.000473,-0.000473,-0.000473,0.000473
0.029000,5.000000,0.276749,2.500000,4.723251,2.500000,2.500000,0.276749,0.000472,-0.000472,-0.000472,0.000472
0.030000,5.000000,0.286177,2.500000,4.713823,2.500000,2.500000,0.286177,0.000471,-0.000471,-0.000471,0.000471
0.031000,5.000000,0.295585,2.500000,4.704415,2.500000,2.500000,0.295585,0.000470,-0.000470,-0.000470,0.000470
0.032000,5.000000,0.304976,2.500000,4.695024,2.500000,2.500000,0.304976,0.000470,-0.000470,-0.000470,0.000470
0.033000,5.000000,0.314347,2.500000,4.685653,2.500000,2.500000,0.314347,0.000469,-0.000469,-0.000469,0.000469
0.034000,5.000000,0.323699,2.500000,4.676301,2.500000,2.500000,0.323699,0.000468,-0.000468,-0.000468,0.000468
0.035000,5.000000,0.333033,2.500000,4.666967,2.500000,2.500000,0.333033,0.000467,-0.000467,-0.000467,0.000467
0.036000,5.000000,0.342349,2.500000,4.657651,2.500000,2.500000,0.342349,0.000466,-0.000466,-0.000466,0.000466
0.037000,5.000000,0.351645,2.500000,4.648355,2.500000,2.500000,0.351645,0.000465,-0.000465,-0.000465,0.000465
0.038000,5.000000,0.360924,2.500000,4.639076,2.500000,2.500000,0.360924,0.000464,-0.000464,-0.000464,0.000464
