t,node 1 (Volt),node 3 (Volt),node 9 (Volt),node 5 (Volt),node 8 (Volt),node 2 (Volt),node 4 (Volt),node 6 (Volt),V(V) (Volt),V(V) (Volt),V(V) (Volt),V(V) (Volt),V(R) (Volt),V(R) (Volt),V(R) (Volt),V(R) (Volt),V(R) (Volt),V(R) (Volt),V(R) (Volt),I(V) (Amp),I(V) (Amp),I(V) (Amp),I(V) (Amp),I(R) (Amp),I(R) (Amp),I(R) (Amp),I(R) (Amp),I(R) (Amp),I(R) (Amp),I(R) (Amp),
0.000000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.001000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.002000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.003000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.004000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.005000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.006000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.007000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.008000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.009000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.010000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.011000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.012000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
0.013000,10.000000,30.000000,7.594397,2.594397,-7.405603,2.570037,-1.266748,-5.103532,10.000000,20.000000,5.000000,10.000000,-7.429963,-3.836784,0.024361,-3.836784,-2.302071,-27.405603,7.594397,-0.007594,-0.006851,-0.007594,-0.000767,-0.000743,-0.000767,0.000024,-0.000767,-0.000767,-0.006851,0.007594,
