t,node 1 (Volt),node 2 (Volt),node 0 (Volt),V(R1) (Volt),V(W1) (Volt),V(V1) (Volt),V(C1) (Volt),I(R1) (Amp),I(W1) (Amp),I(V1) (Amp),I(C1) (Amp)
0.000000,0.000000,-2.490040,-2.500000,2.490040,0.000000,2.500000,0.009960,0.000249,-0.000249,-0.000249,0.000249
0.002000,-2.500000,-2.490080,-2.500000,-0.009920,-2.500000,2.500000,0.009920,-0.000001,0.000001,0.000001,-0.000001
0.004000,2.500000,-2.470199,-2.500000,4.970199,2.500000,2.500000,0.029801,0.000497,-0.000497,-0.000497,0.000497
0.006000,2.500000,-2.450397,-2.500000,4.950397,2.500000,2.500000,0.049603,0.000495,-0.000495,-0.000495,0.000495
0.008000,2.500000,-2.430674,-2.500000,4.930674,2.500000,2.500000,0.069326,0.000493,-0.000493,-0.000493,0.000493
0.010000,2.500000,-2.411030,-2.500000,4.911030,2.500000,2.500000,0.088970,0.000491,-0.000491,-0.000491,0.000491
0.012000,2.500000,-2.391464,-2.500000,4.891464,2.500000,2.500000,0.108536,0.000489,-0.000489,-0.000489,0.000489
0.014000,2.500000,-2.371977,-2.500000,4.871977,2.500000,2.500000,0.128023,0.000487,-0.000487,-0.000487,0.000487
0.016000,2.500000,-2.352566,-2.500000,4.852566,2.500000,2.500000,0.147434,0.000485,-0.000485,-0.000485,0.000485
0.018000,2.500000,-2.333233,-2.500000,4.833233,2.500000,2.500000,0.166767,0.000483,-0.000483,-0.000483,0.000483
0.020000,2.500000,-2.313977,-2.500000,4.813977,2.500000,2.500000,0.186023,0.000481,-0.000481,-0.000481,0.000481
0.022000,2.500000,-2.294798,-2.500000,4.794798,2.500000,2.500000,0.205202,0.000479,-0.000479,-0.000479,0.000479
0.024000,2.500000,-2.275695,-2.500000,4.775695,2.500000,2.500000,0.224305,0.000478,-0.000478,-0.000478,0.000478
0.026000,2.500000,-2.256669,-2.500000,4.756669,2.500000,2.500000,0.243331,0.000476,-0.000476,-0.000476,0.000476
0.028000,2.500000,-2.237718,-2.500000,4.737718,2.500000,2.500000,0.262282,0.000474,-0.000474,-0.000474,0.000474
0.030000,2.500000,-2.218843,-2.500000,4.718843,2.500000,2.500000,0.281157,0.000472,-0.000472,-0.000472,0.000472
0.032000,2.500000,-2.200042,-2.500000,4.700042,2.500000,2.500000,0.299958,0.000470,-0.000470,-0.000470,0.000470
0.034000,2.500000,-2.181317,-2.500000,4.681317,2.500000,2.500000,0.318683,0.000468,-0.000468,-0.000468,0.000468
0.036000,2.500000,-2.162666,-2.500000,4.662666,2.500000,2.500000,0.337334,0.000466,-0.000466,-0.000466,0.000466
0.038000,2.500000,-2.144090,-2.500000,4.644090,2.500000,2.500000,0.355910,0.000464,-0.000464,-0.000464,0.000464
0.040000,2.500000,-2.125588,-2.500000,4.625588,2.500000,2.500000,0.374412,0.000463,-0.000463,-0.000463,0.000463
0.042000,2.500000,-2.107159,-2.500000,4.607159,2.500000,2.500000,0.392841,0.000461,-0.000461,-0.000461,0.000461
0.044000,2.500000,-2.088804,-2.500000,4.588804,2.500000,2.500000,0.411196,0.000459,-0.000459,-0.000459,0.000459
0.046000,2.500000,-2.070522,-2.500000,4.570522,2.500000,2.500000,0.429478,0.000457,-0.000457,-0.000457,0.000457
0.048000,2.500000,-2.052313,-2.500000,4.552313,2.500000,2.500000,0.447687,0.000455,-0.000455,-0.000455,0.000455
0.050000,2.500000,-2.034176,-2.500000,4.534176,2.500000,2.500000,0.465824,0.000453,-0.000453,-0.000453,0.000453
0.052000,2.500000,-2.016111,-2.500000,4.516111,2.500000,2.500000,0.483889,0.000452,-0.000452,-0.000452,0.000452
0.054000,2.500000,-1.998119,-2.500000,4.498119,2.500000,2.500000,0.501881,0.000450,-0.000450,-0.000450,0.000450
0.056000,2.500000,-1.980198,-2.500000,4.480198,2.500000,2.500000,0.519802,0.000448,-0.000448,-0.000448,0.000448
0.058000,2.500000,-1.962349,-2.500000,4.462349,2.500000,2.500000,0.537651,0.000446,-0.000446,-0.000446,0.000446
0.060000,2.500000,-1.944570,-2.500000,4.444570,2.500000,2.500000,0.555430,0.000444,-0.000444,-0.000444,0.000444
0.062000,2.500000,-1.926863,-2.500000,4.426863,2.500000,2.500000,0.573137,0.000443,-0.000443,-0.000443,0.000443
0.064000,2.500000,-1.909226,-2.500000,4.409226,2.500000,2.500000,0.590774,0.000441,-0.000441,-0.000441,0.000441
0.066000,2.500000,-1.891659,-2.500000,4.391659,2.500000,2.500000,0.608341,0.000439,-0.000439,-0.000439,0.000439
0.068000,2.500000,-1.874163,-2.500000,4.374163,2.500000,2.500000,0.625837,0.000437,-0.000437,-0.000437,0.000437
0.070000,2.500000,-1.856736,-2.500000,4.356736,2.500000,2.500000,0.643264,0.000436,-0.000436,-0.000436,0.000436
0.072000,2.500000,-1.839378,-2.500000,4.339378,2.500000,2.500000,0.660622,0.000434,-0.000434,-0.000434,0.000434
0.074000,2.500000,-1.822090,-2.500000,4.322090,2.500000,2.500000,0.677910,0.000432,-0.000432,-0.000432,0.000432
0.076000,2.500000,-1.804871,-2.500000,4.304871,2.500000,2.500000,0.695129,0.000430,-0.000430,-0.000430,0.000430
